Case;Atividade;Inicio;Fim;Tempo(s)
52;Retirada do Produto;19-01-2012 10:09:05;19-01-2012 10:09:05;0
52;Alimentacao de Maquina;19-01-2012 10:09:05;19-01-2012 10:09:15;10
52;Parada de curta duracao;19-01-2012 10:09:15;19-01-2012 10:09:27;12
53;Maquina trabalhando;19-01-2012 10:09:27;19-01-2012 10:10:10;43
53;Retirada do Produto;19-01-2012 10:10:10;19-01-2012 10:10:10;0
53;Alimentacao de Maquina;19-01-2012 10:10:10;19-01-2012 10:10:20;10
53;Parada de curta duracao;19-01-2012 10:10:20;19-01-2012 10:10:26;6
54;Maquina trabalhando;19-01-2012 10:10:26;19-01-2012 10:11:10;44
54;Retirada do Produto;19-01-2012 10:11:10;19-01-2012 10:11:10;0
54;Alimentacao de Maquina;19-01-2012 10:11:10;19-01-2012 10:11:20;10
54;Parada de curta duracao;19-01-2012 10:11:20;19-01-2012 10:12:23;63
55;Maquina trabalhando;19-01-2012 10:12:24;19-01-2012 10:13:07;43
55;Retirada do Produto;19-01-2012 10:13:07;19-01-2012 10:13:07;0
55;Alimentacao de Maquina;19-01-2012 10:13:07;19-01-2012 10:13:17;10
55;Parada de curta duracao;19-01-2012 10:13:17;19-01-2012 10:13:22;5
56;Maquina trabalhando;19-01-2012 10:13:22;19-01-2012 10:14:06;44
56;Alimentacao de Maquina;19-01-2012 10:14:06;19-01-2012 10:14:16;10
56;Retirada do Produto;19-01-2012 10:14:07;19-01-2012 10:14:07;0
56;Parada de curta duracao;19-01-2012 10:14:16;19-01-2012 10:14:20;4
57;Maquina trabalhando;19-01-2012 10:14:21;19-01-2012 10:15:04;43
57;Retirada do Produto;19-01-2012 10:15:04;19-01-2012 10:15:04;0
57;Alimentacao de Maquina;19-01-2012 10:15:04;19-01-2012 10:15:14;10
57;Parada de curta duracao;19-01-2012 10:15:14;19-01-2012 10:15:17;3
58;Maquina trabalhando;19-01-2012 10:15:18;19-01-2012 10:16:01;43
58;Retirada do Produto;19-01-2012 10:16:01;19-01-2012 10:16:01;0
58;Alimentacao de Maquina;19-01-2012 10:16:01;19-01-2012 10:16:11;10
58;Parada de curta duracao;19-01-2012 10:16:11;19-01-2012 10:16:15;4
59;Maquina trabalhando;19-01-2012 10:16:15;19-01-2012 10:16:58;43
59;Alimentacao de Maquina;19-01-2012 10:16:58;19-01-2012 10:17:08;10
59;Retirada do Produto;19-01-2012 10:16:59;19-01-2012 10:16:59;0
59;Parada de curta duracao;19-01-2012 10:17:08;19-01-2012 10:17:15;7
60;Maquina trabalhando;19-01-2012 10:17:16;19-01-2012 10:17:59;43
60;Retirada do Produto;19-01-2012 10:17:59;19-01-2012 10:17:59;0
60;Alimentacao de Maquina;19-01-2012 10:17:59;19-01-2012 10:18:09;10
60;Parada de curta duracao;19-01-2012 10:18:09;19-01-2012 10:18:13;4
61;Maquina trabalhando;19-01-2012 10:18:13;19-01-2012 10:18:56;43
61;Retirada do Produto;19-01-2012 10:18:56;19-01-2012 10:18:56;0
61;Alimentacao de Maquina;19-01-2012 10:18:56;19-01-2012 10:19:06;10
61;Parada de curta duracao;19-01-2012 10:19:06;19-01-2012 10:19:11;5
62;Maquina trabalhando;19-01-2012 10:19:11;19-01-2012 10:19:55;44
62;Retirada do Produto;19-01-2012 10:19:55;19-01-2012 10:19:55;0
62;Alimentacao de Maquina;19-01-2012 10:19:55;19-01-2012 10:20:05;10
62;Parada de curta duracao;19-01-2012 10:20:05;19-01-2012 10:20:46;41
63;Maquina trabalhando;19-01-2012 10:20:46;19-01-2012 10:21:29;43
63;Retirada do Produto;19-01-2012 10:21:29;19-01-2012 10:21:29;0
63;Alimentacao de Maquina;19-01-2012 10:21:29;19-01-2012 10:21:39;10
63;Parada de curta duracao;19-01-2012 10:21:39;19-01-2012 10:21:42;3
64;Maquina trabalhando;19-01-2012 10:21:42;19-01-2012 10:22:26;44
64;Retirada do Produto;19-01-2012 10:22:26;19-01-2012 10:22:26;0
64;Alimentacao de Maquina;19-01-2012 10:22:26;19-01-2012 10:22:36;10
64;Parada de curta duracao;19-01-2012 10:22:36;19-01-2012 10:22:40;4
65;Maquina trabalhando;19-01-2012 10:22:40;19-01-2012 10:23:23;43
65;Reunioes;19-01-2012 10:23:23;19-01-2012 10:28:29;306
65;Retirada do Produto;19-01-2012 10:23:24;19-01-2012 10:23:24;0
65;Alimentacao de Maquina;19-01-2012 10:23:24;19-01-2012 10:23:34;10
66;Maquina trabalhando;19-01-2012 10:28:31;19-01-2012 10:29:16;45
66;Retirada do Produto;19-01-2012 10:29:16;19-01-2012 10:29:16;0
66;Alimentacao de Maquina;19-01-2012 10:29:16;19-01-2012 10:29:26;10
66;Parada de curta duracao;19-01-2012 10:29:26;19-01-2012 10:29:39;13
67;Maquina trabalhando;19-01-2012 10:29:39;19-01-2012 10:30:22;43
67;Retirada do Produto;19-01-2012 10:30:22;19-01-2012 10:30:22;0
67;Alimentacao de Maquina;19-01-2012 10:30:22;19-01-2012 10:30:32;10
67;Parada de curta duracao;19-01-2012 10:30:32;19-01-2012 10:30:37;5
68;Maquina trabalhando;19-01-2012 10:30:37;19-01-2012 10:31:22;45
68;Retirada do Produto;19-01-2012 10:31:22;19-01-2012 10:31:22;0
68;Alimentacao de Maquina;19-01-2012 10:31:22;19-01-2012 10:31:32;10
68;Parada de curta duracao;19-01-2012 10:31:32;19-01-2012 10:31:37;5
69;Maquina trabalhando;19-01-2012 10:31:38;19-01-2012 10:32:21;43
69;Retirada do Produto;19-01-2012 10:32:21;19-01-2012 10:32:21;0
69;Alimentacao de Maquina;19-01-2012 10:32:21;19-01-2012 10:32:31;10
69;Parada de curta duracao;19-01-2012 10:32:31;19-01-2012 10:32:37;6
70;Maquina trabalhando;19-01-2012 10:32:37;19-01-2012 10:33:21;44
70;Retirada do Produto;19-01-2012 10:33:21;19-01-2012 10:33:21;0
70;Alimentacao de Maquina;19-01-2012 10:33:21;19-01-2012 10:33:31;10
70;Parada de curta duracao;19-01-2012 10:33:31;19-01-2012 10:33:35;4
71;Maquina trabalhando;19-01-2012 10:33:35;19-01-2012 10:34:18;43
71;Retirada do Produto;19-01-2012 10:34:18;19-01-2012 10:34:18;0
71;Alimentacao de Maquina;19-01-2012 10:34:18;19-01-2012 10:34:28;10
71;Parada de curta duracao;19-01-2012 10:34:28;19-01-2012 10:34:36;8
72;Maquina trabalhando;19-01-2012 10:34:36;19-01-2012 10:35:20;44
72;Retirada do Produto;19-01-2012 10:35:20;19-01-2012 10:35:20;0
72;Alimentacao de Maquina;19-01-2012 10:35:20;19-01-2012 10:35:30;10
72;Parada de curta duracao;19-01-2012 10:35:30;19-01-2012 10:35:41;11
73;Maquina trabalhando;19-01-2012 10:35:41;19-01-2012 10:36:25;44
73;Retirada do Produto;19-01-2012 10:36:25;19-01-2012 10:36:25;0
73;Alimentacao de Maquina;19-01-2012 10:36:25;19-01-2012 10:36:35;10
73;Parada de curta duracao;19-01-2012 10:36:35;19-01-2012 10:36:46;11
74;Maquina trabalhando;19-01-2012 10:36:47;19-01-2012 10:37:30;43
74;Retirada do Produto;19-01-2012 10:37:30;19-01-2012 10:37:30;0
74;Alimentacao de Maquina;19-01-2012 10:37:30;19-01-2012 10:37:40;10
74;Parada de curta duracao;19-01-2012 10:37:40;19-01-2012 10:37:46;6
75;Maquina trabalhando;19-01-2012 10:37:46;19-01-2012 10:38:30;44
75;Retirada do Produto;19-01-2012 10:38:30;19-01-2012 10:38:30;0
75;Alimentacao de Maquina;19-01-2012 10:38:30;19-01-2012 10:38:40;10
75;Parada de curta duracao;19-01-2012 10:38:40;19-01-2012 10:38:44;4
76;Maquina trabalhando;19-01-2012 10:38:44;19-01-2012 10:39:28;44
76;Retirada do Produto;19-01-2012 10:39:28;19-01-2012 10:39:28;0
76;Alimentacao de Maquina;19-01-2012 10:39:28;19-01-2012 10:39:38;10
76;Parada de curta duracao;19-01-2012 10:39:38;19-01-2012 10:39:44;6
77;Maquina trabalhando;19-01-2012 10:39:44;19-01-2012 10:40:28;44
77;Retirada do Produto;19-01-2012 10:40:28;19-01-2012 10:40:28;0
77;Alimentacao de Maquina;19-01-2012 10:40:28;19-01-2012 10:40:38;10
77;Parada de curta duracao;19-01-2012 10:40:38;19-01-2012 10:40:43;5
